timestamp,user_id,lock_id,access_level,access_granted,access_duration,failed_attempts,day_of_week,hour,is_weekend,is_business_hours,is_anomaly,time_since_last_access,user_access_count,lock_access_count
2024-11-05 22:20:34.145369,USER_009,LOCK_023,basic,True,122.01431634437759,1,1,22,False,False,True,,0,0
2024-11-05 23:35:34.145369,USER_029,LOCK_012,admin,True,237.06848461442857,2,1,23,False,False,True,4500.0,0,0
2024-11-05 23:48:34.145369,USER_056,LOCK_004,basic,False,103.35323432655716,2,1,23,False,False,True,780.0,0,0
2024-11-05 23:51:34.145369,USER_040,LOCK_024,advanced,True,261.7037596811702,2,1,23,False,False,True,180.0,0,0
2024-11-06 00:12:34.145369,USER_021,LOCK_007,admin,True,169.53954990793193,3,2,0,False,False,True,1260.0,0,0
2024-11-06 01:16:34.145369,USER_080,LOCK_012,basic,True,249.50595204020686,2,2,1,False,False,True,3840.0,0,1
2024-11-06 01:18:34.145369,USER_000,LOCK_008,admin,True,116.01556107585662,1,2,1,False,False,True,120.0,0,0
2024-11-06 02:51:34.145369,USER_055,LOCK_015,admin,False,73.60099969783643,1,2,2,False,False,True,5580.0,0,0
2024-11-06 03:04:34.145369,USER_072,LOCK_011,basic,True,44.92774931410038,3,2,3,False,False,True,780.0,0,0
2024-11-06 03:23:34.145369,USER_031,LOCK_018,basic,True,35.54209143713234,0,2,3,False,False,True,1140.0,0,0
2024-11-06 04:26:34.145369,USER_076,LOCK_003,advanced,True,256.97666869398313,0,2,4,False,False,True,3780.0,0,0
2024-11-06 04:34:34.145369,USER_084,LOCK_006,admin,True,265.1878261993143,2,2,4,False,False,True,480.0,0,0
2024-11-06 05:41:34.145369,USER_009,LOCK_018,basic,True,20.802633714353114,0,2,5,False,False,False,4020.0,1,1
2024-11-06 05:42:34.145369,USER_076,LOCK_020,advanced,True,20.237165898287262,0,2,5,False,False,False,60.0,1,0
2024-11-06 05:45:34.145369,USER_060,LOCK_010,advanced,True,7.256267953237586,0,2,5,False,False,False,180.0,0,0
2024-11-06 05:47:34.145369,USER_045,LOCK_007,basic,True,18.487881817412383,0,2,5,False,False,False,120.0,0,1
